Keyword,Page type,Location,Tag,content_block,Avg. monthly searches,Three month change,YoY change,Competition,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
tourist things to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,8100,0%,-18%,High,9900,9900,9900,9900,9900,9900,8100,5400,5400,8100,6600,8100
barcelona best things to do,City PDP,Barcelona,Activities & experiences,Things to do block,6600,0%,-45%,High,8100,8100,8100,8100,8100,6600,6600,4400,3600,5400,5400,5400
barcelona city places to visit,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,6600,0%,-33%,High,8100,8100,6600,6600,6600,6600,5400,4400,4400,5400,5400,5400
barcelona must go,City PDP,Barcelona,Misc & branded queries,Unclassified,6600,22%,-19%,High,8100,8100,6600,6600,6600,6600,6600,4400,3600,5400,5400,6600
barcelona must go places,City PDP,Barcelona,Misc & branded queries,Unclassified,6600,22%,-19%,High,8100,8100,6600,6600,6600,6600,6600,4400,3600,5400,5400,6600
barcelona must see places,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,6600,22%,-19%,High,8100,8100,6600,6600,6600,6600,6600,4400,3600,5400,5400,6600
barcelona must see sights,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,6600,22%,-19%,High,8100,8100,6600,6600,6600,6600,6600,4400,3600,5400,5400,6600
barcelona nightlife,City PDP,Barcelona,Nightlife,Things to do block,6600,0%,-45%,Medium,8100,8100,8100,8100,6600,6600,5400,5400,4400,5400,5400,5400
barcelona places to visit,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,6600,0%,-33%,High,8100,8100,6600,6600,6600,6600,5400,4400,4400,5400,5400,5400
barcelona points of interest,City PDP,Barcelona,Misc & branded queries,Unclassified,6600,0%,-33%,High,8100,8100,6600,6600,6600,6600,5400,4400,4400,5400,5400,5400
barcelona public transit,City PDP,Barcelona,Misc & branded queries,Unclassified,6600,22%,-19%,Low,8100,8100,8100,6600,6600,6600,6600,5400,4400,5400,5400,6600
barcelona spain public transportation,City PDP,Barcelona,Misc & branded queries,Unclassified,6600,22%,-19%,Low,8100,8100,8100,6600,6600,6600,6600,5400,4400,5400,5400,6600
barcelona tapas bar,City PDP,Barcelona,Food & drink,Things to do block,6600,22%,0%,Low,6600,6600,5400,6600,6600,6600,6600,5400,5400,5400,5400,6600
barcelona top things to see,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,6600,0%,-45%,High,8100,8100,8100,8100,8100,6600,6600,4400,3600,5400,5400,5400
bcn public transportation,City PDP,Barcelona,Misc & branded queries,Unclassified,6600,22%,-19%,Low,8100,8100,8100,6600,6600,6600,6600,5400,4400,5400,5400,6600
best barcelona beach,City PDP,Barcelona,Beaches & water,Things to do block,6600,52%,-33%,Medium,8100,9900,12100,12100,9900,5400,2900,1600,1600,2900,2900,4400
best barcelona beaches,City PDP,Barcelona,Beaches & water,Things to do block,6600,52%,-33%,Medium,8100,9900,12100,12100,9900,5400,2900,1600,1600,2900,2900,4400
best beach barcelona,City PDP,Barcelona,Beaches & water,Things to do block,6600,52%,-33%,Medium,8100,9900,12100,12100,9900,5400,2900,1600,1600,2900,2900,4400
best beach in barcelona city,City PDP,Barcelona,Beaches & water,Things to do block,6600,52%,-33%,Medium,8100,9900,12100,12100,9900,5400,2900,1600,1600,2900,2900,4400
best beach in barcelona spain,City PDP,Barcelona,Beaches & water,Things to do block,6600,52%,-33%,Medium,8100,9900,12100,12100,9900,5400,2900,1600,1600,2900,2900,4400
best beaches from barcelona,City PDP,Barcelona,Beaches & water,Nearby block,6600,52%,-33%,Medium,8100,9900,12100,12100,9900,5400,2900,1600,1600,2900,2900,4400
best beaches in barcelona,City PDP,Barcelona,Beaches & water,Things to do block,6600,52%,-33%,Medium,8100,9900,12100,12100,9900,5400,2900,1600,1600,2900,2900,4400
good beaches in barcelona,City PDP,Barcelona,Beaches & water,Things to do block,6600,52%,-33%,Medium,8100,9900,12100,12100,9900,5400,2900,1600,1600,2900,2900,4400
must go places in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,6600,22%,-19%,High,8100,8100,6600,6600,6600,6600,6600,4400,3600,5400,5400,6600
must see attractions in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,6600,22%,-19%,High,8100,8100,6600,6600,6600,6600,6600,4400,3600,5400,5400,6600
must see sites in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,6600,22%,-19%,High,8100,8100,6600,6600,6600,6600,6600,4400,3600,5400,5400,6600
must see spots in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,6600,22%,-19%,High,8100,8100,6600,6600,6600,6600,6600,4400,3600,5400,5400,6600
must visit in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,6600,22%,-19%,High,8100,8100,6600,6600,6600,6600,6600,4400,3600,5400,5400,6600
nice beaches in barcelona,City PDP,Barcelona,Beaches & water,Things to do block,6600,52%,-33%,Medium,8100,9900,12100,12100,9900,5400,2900,1600,1600,2900,2900,4400
nicest beaches in barcelona,City PDP,Barcelona,Beaches & water,Things to do block,6600,52%,-33%,Medium,8100,9900,12100,12100,9900,5400,2900,1600,1600,2900,2900,4400
places to travel in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,6600,0%,-33%,High,8100,8100,6600,6600,6600,6600,5400,4400,4400,5400,5400,5400
places to visit while in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,6600,0%,-33%,High,8100,8100,6600,6600,6600,6600,5400,4400,4400,5400,5400,5400
public transport barcelona,City PDP,Barcelona,Getting there & local transport,How to get block,6600,22%,-19%,Low,8100,8100,8100,6600,6600,6600,6600,5400,4400,5400,5400,6600
top activities in barcelona,City PDP,Barcelona,Activities & experiences,Unclassified,6600,0%,-45%,High,8100,8100,8100,8100,8100,6600,6600,4400,3600,5400,5400,5400
top attractions in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,6600,0%,-45%,High,8100,8100,8100,8100,8100,6600,6600,4400,3600,5400,5400,5400
top attractions in barcelona spain,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,6600,0%,-45%,High,8100,8100,8100,8100,8100,6600,6600,4400,3600,5400,5400,5400
top things to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,6600,0%,-45%,High,8100,8100,8100,8100,8100,6600,6600,4400,3600,5400,5400,5400
top things to do in barca,City PDP,Barcelona,Activities & experiences,Things to do block,6600,0%,-45%,High,8100,8100,8100,8100,8100,6600,6600,4400,3600,5400,5400,5400
top things to see and do in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,6600,0%,-45%,High,8100,8100,8100,8100,8100,6600,6600,4400,3600,5400,5400,5400
top to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,6600,0%,-45%,High,8100,8100,8100,8100,8100,6600,6600,4400,3600,5400,5400,5400
barcelona boutiques,City PDP,Barcelona,Misc & branded queries,Unclassified,5400,23%,23%,Medium,5400,8100,5400,9900,8100,4400,4400,4400,3600,4400,4400,5400
barcelona city shopping,City PDP,Barcelona,Shopping,Unclassified,5400,22%,-33%,Low,6600,6600,6600,5400,5400,5400,5400,3600,2900,3600,3600,4400
barcelona shopping stores,City PDP,Barcelona,Shopping,Things to do block,5400,22%,-33%,Low,6600,6600,6600,5400,5400,5400,5400,3600,2900,3600,3600,4400
barcelona spain stores,City PDP,Barcelona,Misc & branded queries,Things to do block,5400,22%,-33%,Low,6600,6600,6600,5400,5400,5400,5400,3600,2900,3600,3600,4400
barcelona tourist attractions map,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,5400,0%,-46%,Low,6600,6600,5400,5400,5400,5400,5400,3600,3600,4400,4400,4400
barceloneta tapas restaurants,City PDP,Barcelona,Food & drink,Unclassified,5400,23%,-33%,Low,6600,6600,6600,6600,5400,5400,5400,4400,3600,4400,4400,5400
bcn shopping,City PDP,Barcelona,Shopping,Unclassified,5400,22%,-33%,Low,6600,6600,6600,5400,5400,5400,5400,3600,2900,3600,3600,4400
breakfast in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,5400,52%,-46%,Low,8100,8100,6600,5400,5400,5400,5400,3600,2900,2900,3600,4400
breakfast in barcelona spain,City PDP,Barcelona,Misc & branded queries,Unclassified,5400,52%,-46%,Low,8100,8100,6600,5400,5400,5400,5400,3600,2900,2900,3600,4400
churros barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,5400,23%,-33%,Low,8100,5400,4400,5400,5400,4400,5400,4400,4400,4400,4400,5400
shopping in barcelona,City PDP,Barcelona,Shopping,Things to do block,5400,22%,-33%,Low,6600,6600,6600,5400,5400,5400,5400,3600,2900,3600,3600,4400
shopping in barcelona spain,City PDP,Barcelona,Shopping,Things to do block,5400,22%,-33%,Low,6600,6600,6600,5400,5400,5400,5400,3600,2900,3600,3600,4400
stores in barcelona spain,City PDP,Barcelona,Misc & branded queries,Unclassified,5400,22%,-33%,Low,6600,6600,6600,5400,5400,5400,5400,3600,2900,3600,3600,4400
tapas restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,5400,23%,-33%,Low,6600,6600,6600,6600,5400,5400,5400,4400,3600,4400,4400,5400
tapas tapas barcelona,City PDP,Barcelona,Food & drink,Things to do block,5400,83%,22%,Low,6600,4400,5400,6600,8100,5400,5400,4400,3600,3600,4400,6600
things going on in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,5400,0%,-33%,Low,6600,6600,6600,6600,5400,6600,5400,4400,3600,4400,4400,4400
visit barcelona,City PDP,Barcelona,Misc & branded queries,H1,5400,0%,-33%,High,8100,6600,5400,6600,6600,5400,5400,4400,3600,5400,5400,5400
visit bcn,City PDP,Barcelona,Misc & branded queries,Unclassified,5400,0%,-33%,High,8100,6600,5400,6600,6600,5400,5400,4400,3600,5400,5400,5400
10 best things to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,4400,0%,-45%,High,6600,5400,5400,5400,4400,4400,4400,2900,2400,3600,3600,3600
10 best things to see in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,4400,0%,-45%,High,6600,5400,5400,5400,4400,4400,4400,2900,2400,3600,3600,3600
adidas store in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,4400,-19%,0%,Low,5400,5400,5400,5400,4400,5400,5400,3600,4400,5400,3600,4400
barcelona 10 best things to do,City PDP,Barcelona,Activities & experiences,Things to do block,4400,0%,-45%,High,6600,5400,5400,5400,4400,4400,4400,2900,2400,3600,3600,3600
barcelona best places to go,City PDP,Barcelona,Misc & branded queries,City attractions block,4400,0%,-33%,High,5400,5400,4400,5400,4400,4400,3600,2900,2400,3600,3600,3600
barcelona best places to see,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,4400,0%,-33%,High,5400,5400,4400,5400,4400,4400,3600,2900,2400,3600,3600,3600
barcelona best sites to visit,City PDP,Barcelona,Misc & branded queries,City attractions block,4400,0%,-33%,High,5400,5400,4400,5400,4400,4400,3600,2900,2400,3600,3600,3600
barcelona bus,City PDP,Barcelona,Misc & branded queries,Unclassified,4400,23%,0%,Low,5400,6600,4400,5400,4400,4400,4400,4400,4400,4400,4400,5400
barca bus,City PDP,Barcelona,Misc & branded queries,Unclassified,4400,23%,0%,Low,5400,6600,4400,5400,4400,4400,4400,4400,4400,4400,4400,5400
barcelona bus price,City PDP,Barcelona,Misc & branded queries,Transport block,4400,24%,-33%,Medium,6600,5400,5400,6600,6600,4400,4400,2900,2400,2900,2900,3600
barcelona bus tickets,City PDP,Barcelona,Misc & branded queries,Transport block,4400,24%,-33%,Medium,6600,5400,5400,6600,6600,4400,4400,2900,2400,2900,2900,3600
barcelona city bus ticket,City PDP,Barcelona,Getting there & local transport,Transport block,4400,24%,-33%,Medium,6600,5400,5400,6600,6600,4400,4400,2900,2400,2900,2900,3600
barcelona city transport pass,City PDP,Barcelona,Getting there & local transport,Unclassified,4400,22%,-33%,Medium,6600,6600,5400,5400,5400,4400,4400,3600,3600,3600,3600,4400
barcelona city travel,City PDP,Barcelona,Misc & branded queries,Unclassified,4400,24%,-64%,Medium,6600,5400,5400,4400,3600,4400,2900,2900,2400,2900,2900,3600
barcelona museu,City PDP,Barcelona,Misc & branded queries,City attractions block,4400,-19%,-19%,High,4400,4400,3600,4400,4400,4400,3600,3600,3600,5400,3600,4400
barcelona sightseeing,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,4400,0%,-33%,High,6600,5400,5400,5400,5400,4400,4400,3600,2900,4400,4400,4400
barcelona spain indian restaurants,City PDP,Barcelona,Food & drink,Things to do block,4400,22%,-19%,Low,6600,5400,4400,4400,5400,4400,4400,3600,3600,3600,3600,4400
barcelona things to see top 10,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,4400,0%,-45%,High,6600,5400,5400,5400,4400,4400,4400,2900,2400,3600,3600,3600
barcelona transport pass,City PDP,Barcelona,Getting there & local transport,Unclassified,4400,22%,-33%,Medium,6600,6600,5400,5400,5400,4400,4400,3600,3600,3600,3600,4400
best place to go barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,4400,0%,-33%,High,5400,5400,4400,5400,4400,4400,3600,2900,2400,3600,3600,3600
best places in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,4400,0%,-33%,High,5400,5400,4400,5400,4400,4400,3600,2900,2400,3600,3600,3600
best places to go in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,4400,0%,-33%,High,5400,5400,4400,5400,4400,4400,3600,2900,2400,3600,3600,3600
best places to see in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,4400,0%,-33%,High,5400,5400,4400,5400,4400,4400,3600,2900,2400,3600,3600,3600
best places to visit in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,4400,0%,-33%,High,5400,5400,4400,5400,4400,4400,3600,2900,2400,3600,3600,3600
best sights to see in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,4400,0%,-33%,High,5400,5400,4400,5400,4400,4400,3600,2900,2400,3600,3600,3600
best sites to see in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,4400,0%,-33%,High,5400,5400,4400,5400,4400,4400,3600,2900,2400,3600,3600,3600
best tourist places in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,4400,0%,-33%,High,5400,5400,4400,5400,4400,4400,3600,2900,2400,3600,3600,3600
bus barcelone ticket,City PDP,Barcelona,Misc & branded queries,Transport block,4400,24%,-33%,Medium,6600,5400,5400,6600,6600,4400,4400,2900,2400,2900,2900,3600
cool places to go in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,4400,0%,-33%,High,5400,5400,4400,5400,4400,4400,3600,2900,2400,3600,3600,3600
good places to go in barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,4400,0%,-33%,High,5400,5400,4400,5400,4400,4400,3600,2900,2400,3600,3600,3600
indian restaurant in barcelona,City PDP,Barcelona,Food & drink,Things to do block,4400,22%,-19%,Low,6600,5400,4400,4400,5400,4400,4400,3600,3600,3600,3600,4400
le barceloneta,City PDP,Barcelona,Neighbourhoods & areas,Neighbourhoods block,4400,50%,83%,Low,4400,4400,2900,3600,3600,4400,5400,5400,5400,4400,3600,6600
meam barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,4400,-18%,406%,Low,1600,2400,1600,1900,2400,1900,2900,6600,8100,9900,8100,8100
meam bcn,City PDP,Barcelona,Misc & branded queries,Unclassified,4400,-18%,406%,Low,1600,2400,1600,1900,2400,1900,2900,6600,8100,9900,8100,8100
meam museu barcelona,City PDP,Barcelona,Misc & branded queries,City attractions block,4400,-18%,406%,Low,1600,2400,1600,1900,2400,1900,2900,6600,8100,9900,8100,8100
neighbourhood barcelona,City PDP,Barcelona,Neighbourhoods & areas,Neighbourhoods block,4400,22%,-19%,Low,5400,5400,5400,4400,3600,4400,3600,2900,2400,3600,3600,4400
neighbourhoods in barcelona,City PDP,Barcelona,Neighbourhoods & areas,Neighbourhoods block,4400,22%,-19%,Low,5400,5400,5400,4400,3600,4400,3600,2900,2400,3600,3600,4400
nice places to visit in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,4400,0%,-33%,High,5400,5400,4400,5400,4400,4400,3600,2900,2400,3600,3600,3600
ten best things to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,4400,0%,-45%,High,6600,5400,5400,5400,4400,4400,4400,2900,2400,3600,3600,3600
ticket bus barcelone,City PDP,Barcelona,Misc & branded queries,Transport block,4400,24%,-33%,Medium,6600,5400,5400,6600,6600,4400,4400,2900,2400,2900,2900,3600
top 10 barcelona attractions,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,4400,0%,-45%,High,6600,5400,5400,5400,4400,4400,4400,2900,2400,3600,3600,3600
top 10 things in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,4400,0%,-45%,High,6600,5400,5400,5400,4400,4400,4400,2900,2400,3600,3600,3600
top 10 things to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,4400,0%,-45%,High,6600,5400,5400,5400,4400,4400,4400,2900,2400,3600,3600,3600
