Keyword,Page type,Location,Tag,Avg. monthly searches,Three month change,YoY change,Competition,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
most beautiful cities in spain to visit,Country PLP,Spain,Urban destinations,140,0%,0%,Medium,170,170,140,140,140,140,140,90,140,170,210,170
most beautiful cities of spain,Country PLP,Spain,Urban destinations,6600,0%,-19%,Low,8100,8100,6600,6600,6600,5400,5400,5400,4400,6600,5400,6600
most beautiful cities to visit in spain,Country PLP,Spain,Urban destinations,140,0%,0%,Medium,170,170,140,140,140,140,140,90,140,170,210,170
most beautiful city in spain to visit,Country PLP,Spain,Urban destinations,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
most beautiful destinations in spain,Country PLP,Spain,Places & destinations,6600,0%,-19%,Low,8100,8100,6600,6600,6600,5400,5400,5400,4400,6600,5400,6600
most beautiful in spain,Country PLP,Spain,Places & destinations,20,0%,0%,Low,20,20,20,10,20,10,10,20,10,20,30,20
most beautiful natural places in spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,20,10,10,10,10,10,10,10,20,10
most beautiful part of spain,Country PLP,Spain,Places & destinations,6600,0%,-19%,Low,8100,8100,6600,6600,6600,5400,5400,5400,4400,6600,5400,6600
most beautiful place to visit in spain,Country PLP,Spain,Places & destinations,20,-33%,-33%,Medium,20,20,30,20,40,20,20,10,20,30,30,20
most beautiful places in northern spain,Country PLP,Spain,Regional exploration,30,33%,33%,Low,30,50,50,50,40,30,20,20,20,30,40,40
most beautiful places in southern spain,Country PLP,Spain,Regional exploration,20,-33%,-33%,Low,20,10,20,30,20,20,30,20,20,30,20,20
most beautiful places in spain to live,Country PLP,Spain,Places & destinations,40,33%,-20%,Low,50,30,40,40,30,40,40,50,30,30,40,40
most beautiful places in spain to visit,Country PLP,Spain,Places & destinations,50,-22%,40%,Medium,30,50,50,50,50,70,40,50,40,90,70,70
most beautiful places to see in spain,Country PLP,Spain,Places & destinations,140,0%,0%,Medium,170,170,140,140,140,140,140,90,140,170,210,170
most beautiful regions of spain,Country PLP,Spain,Places & destinations,40,-25%,-57%,Low,40,30,70,40,50,20,30,30,40,40,40,30
most beautiful spain,Country PLP,Spain,Places & destinations,20,0%,-60%,Low,30,40,30,10,20,10,10,20,10,20,30,20
most beautiful spain cities,Country PLP,Spain,Urban destinations,6600,0%,-19%,Low,8100,8100,6600,6600,6600,5400,5400,5400,4400,6600,5400,6600
most beautiful spots in spain,Country PLP,Spain,Places & destinations,6600,0%,-19%,Low,8100,8100,6600,6600,6600,5400,5400,5400,4400,6600,5400,6600
most beautiful towns in northern spain,Country PLP,Spain,Regional exploration,170,-18%,-56%,Low,260,260,260,260,210,170,140,110,110,170,110,140
most beautiful towns in southern spain,Country PLP,Spain,Regional exploration,20,-33%,-33%,Low,30,20,20,10,30,20,10,30,10,30,30,20
most beautiful towns in spain,Country PLP,Spain,Urban destinations,590,-18%,-33%,Low,720,720,590,720,720,590,590,480,480,720,590,590
most beautiful towns spain,Country PLP,Spain,Urban destinations,590,-18%,-33%,Low,720,720,590,720,720,590,590,480,480,720,590,590
most beautiful villages in spain,Country PLP,Spain,Places & destinations,260,0%,-33%,Low,320,320,320,320,260,260,210,210,170,260,260,260
most charming towns in spain,Country PLP,Spain,Urban destinations,480,-34%,-34%,Low,590,720,480,590,480,390,390,320,390,590,390,390
most famous cities in spain,Country PLP,Spain,Urban destinations,590,0%,0%,Low,590,1300,480,480,390,590,480,480,390,480,480,480
most famous landmarks in spain,Country PLP,Spain,Sightseeing & landmarks,390,0%,50%,Low,320,480,320,170,320,880,480,390,320,480,480,480
most famous place in spain,Country PLP,Spain,Places & destinations,6600,0%,0%,Low,8100,9900,6600,5400,5400,9900,8100,6600,5400,6600,5400,6600
most famous places to visit in spain,Country PLP,Spain,Sightseeing & landmarks,20,50%,0%,Low,10,30,20,20,10,30,20,10,20,20,20,30
most famous tourist attractions in spain,Country PLP,Spain,Sightseeing & landmarks,20,0%,-50%,Low,30,20,20,20,10,20,20,10,20,10,20,10
most fun cities in spain,Country PLP,Spain,Urban destinations,30,100%,0%,Low,50,40,30,30,30,30,20,20,10,20,30,40
most important cities in spain,Country PLP,Spain,Urban destinations,70,0%,-22%,Low,70,110,50,40,50,90,110,70,70,70,70,70
most important places to visit in spain,Country PLP,Spain,Places & destinations,20,50%,0%,Low,10,30,20,20,10,30,20,10,20,20,20,30
most interesting cities in spain,Country PLP,Spain,Urban destinations,30,50%,0%,Low,30,40,30,20,10,30,30,10,20,20,40,30
most interesting places in spain,Country PLP,Spain,Places & destinations,20,0%,0%,Low,20,20,10,20,10,20,10,10,20,20,10,20
most interesting places to visit in spain,Country PLP,Spain,Places & destinations,70,29%,29%,Low,90,110,40,70,70,70,70,50,50,70,70,90
most picturesque places in spain,Country PLP,Spain,Places & destinations,110,0%,-21%,Low,140,140,110,110,110,110,70,90,90,110,90,110
most popular attractions in spain,Country PLP,Spain,Sightseeing & landmarks,140,27%,0%,Low,170,170,140,110,140,210,210,140,110,110,90,140
most popular cities in spain,Country PLP,Spain,Urban destinations,1000,-12%,-32%,Low,1300,1300,1000,1000,1000,1000,1000,880,720,1000,880,880
most popular cities in spain to visit,Country PLP,Spain,Urban destinations,10,0%,0%,Medium,20,30,10,10,10,20,10,20,10,10,10,10
most popular cities to visit in spain,Country PLP,Spain,Urban destinations,30,33%,33%,Low,20,30,40,30,30,40,40,30,20,30,30,40
most popular destination in spain,Country PLP,Spain,Places & destinations,320,0%,0%,Low,320,390,390,390,320,320,390,260,260,320,260,320
most popular place in spain,Country PLP,Spain,Places & destinations,320,0%,0%,Low,320,390,390,390,320,320,390,260,260,320,260,320
most popular place to visit in spain,Country PLP,Spain,Places & destinations,20,-50%,-95%,Low,30,30,10,10,10,30,20,10,20,20,20,10
most popular places in spain to visit,Country PLP,Spain,Places & destinations,30,33%,33%,Low,20,30,40,30,30,40,40,30,20,30,30,40
most popular things in spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,20,10,10,10,30,10,10,10,10,10,10
most popular tourist attraction in spain,Country PLP,Spain,Sightseeing & landmarks,40,-50%,-50%,Low,40,40,40,30,30,50,40,40,20,40,30,20
most popular tourist cities in spain,Country PLP,Spain,Urban destinations,30,33%,33%,Low,40,50,30,40,30,30,30,30,30,30,20,40
most popular tourist destination in spain,Country PLP,Spain,Places & destinations,40,-50%,-50%,Low,40,40,40,30,30,50,40,40,20,40,30,20
most romantic city in spain,Country PLP,Spain,Urban destinations,40,-40%,-25%,Low,50,40,40,50,50,40,30,30,50,50,40,30
most romantic place in spain,Country PLP,Spain,Places & destinations,110,-36%,-36%,Low,140,140,110,110,110,90,70,70,70,140,90,90
most scenic places in spain,Country PLP,Spain,Nature & outdoors,110,0%,-21%,Low,140,140,110,110,110,110,70,90,90,110,90,110
most tourist cities in spain,Country PLP,Spain,Urban destinations,50,0%,-20%,Low,50,50,40,70,70,40,70,50,30,40,30,40
most touristic cities in spain,Country PLP,Spain,Urban destinations,50,33%,-43%,Low,70,50,50,70,50,70,50,50,30,30,50,40
most touristic places in spain,Country PLP,Spain,Places & destinations,10,0%,-67%,Low,10,20,10,20,10,10,20,10,10,10,20,10
most visited attraction in spain,Country PLP,Spain,Places & destinations,20,0%,-33%,Low,20,20,10,20,20,20,20,20,30,20,20,20
most visited cities in spain,Country PLP,Spain,Urban destinations,1000,-12%,-32%,Low,1300,1300,1000,1000,1000,1000,1000,880,720,1000,880,880
most visited in spain,Country PLP,Spain,Places & destinations,10,0%,-50%,Low,10,10,20,20,10,10,10,10,10,10,10,10
most visited sites in spain,Country PLP,Spain,Places & destinations,30,50%,0%,Medium,20,30,20,30,30,30,30,20,20,20,20,30
most visited spain cities,Country PLP,Spain,Urban destinations,1000,-12%,-32%,Low,1300,1300,1000,1000,1000,1000,1000,880,720,1000,880,880
must do cities in spain,Country PLP,Spain,Urban destinations,10,0%,-50%,Low,20,10,10,10,10,10,10,10,10,10,10,10
must go cities in spain,Country PLP,Spain,Urban destinations,2900,-33%,-33%,Medium,3600,3600,2900,2900,2400,2400,2400,1900,1900,3600,2400,2400
must go in spain,Country PLP,Spain,Places & destinations,1300,-38%,-47%,Medium,1600,1900,1600,1300,1300,1600,1000,1000,1000,1600,1000,1000
must go to places in spain,Country PLP,Spain,Places & destinations,10,-67%,0%,Medium,10,10,20,10,10,10,20,10,10,30,10,10
must places to visit in spain,Country PLP,Spain,Places & destinations,2900,-33%,-33%,Medium,3600,3600,2900,2900,2400,2400,2400,1900,1900,3600,2400,2400
must see attractions in spain,Country PLP,Spain,Sightseeing & landmarks,2900,-33%,-33%,Medium,3600,3600,2900,2900,2400,2400,2400,1900,1900,3600,2400,2400
must see city in spain,Country PLP,Spain,Urban destinations,2900,-33%,-33%,Medium,3600,3600,2900,2900,2400,2400,2400,1900,1900,3600,2400,2400
must see destinations in spain,Country PLP,Spain,Sightseeing & landmarks,2900,-33%,-33%,Medium,3600,3600,2900,2900,2400,2400,2400,1900,1900,3600,2400,2400
must see in southern spain,Country PLP,Spain,Regional exploration,70,-18%,-18%,Low,90,90,50,70,70,90,70,70,70,110,90,90
must see north spain,Country PLP,Spain,Regional exploration,10,0%,-50%,Low,10,20,20,20,10,10,10,10,10,10,10,10
must see northern spain,Country PLP,Spain,Regional exploration,50,-29%,-29%,Low,70,90,70,70,70,50,30,20,30,70,70,50
must see place in spain,Country PLP,Spain,Sightseeing & landmarks,10,0%,0%,Low,10,10,10,10,10,10,10,10,20,10,10,10
must see places in northern spain,Country PLP,Spain,Regional exploration,20,-50%,0%,Low,30,20,20,30,10,10,10,10,10,40,20,20
must see places in southern spain,Country PLP,Spain,Regional exploration,70,-18%,-18%,Low,90,90,50,70,70,90,70,70,70,110,90,90
must see places to visit in spain,Country PLP,Spain,Sightseeing & landmarks,10,0%,0%,Medium,10,20,10,10,10,10,10,10,10,10,30,10
must see sights in spain,Country PLP,Spain,Sightseeing & landmarks,2900,-33%,-33%,Medium,3600,3600,2900,2900,2400,2400,2400,1900,1900,3600,2400,2400
must see sites in spain,Country PLP,Spain,Sightseeing & landmarks,2900,-33%,-33%,Medium,3600,3600,2900,2900,2400,2400,2400,1900,1900,3600,2400,2400
must see south of spain,Country PLP,Spain,Regional exploration,10,100%,100%,Medium,20,20,10,10,10,10,10,10,10,10,10,20
must see south spain,Country PLP,Spain,Regional exploration,10,0%,-50%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
must see southern spain,Country PLP,Spain,Regional exploration,70,-18%,-18%,Low,90,90,50,70,70,90,70,70,70,110,90,90
must see spots in spain,Country PLP,Spain,Sightseeing & landmarks,2900,-33%,-33%,Medium,3600,3600,2900,2900,2400,2400,2400,1900,1900,3600,2400,2400
must see towns in spain,Country PLP,Spain,Urban destinations,30,0%,-50%,Low,40,30,20,30,30,30,30,20,20,20,30,20
must visit place in spain,Country PLP,Spain,Sightseeing & landmarks,2900,-33%,-33%,Medium,3600,3600,2900,2900,2400,2400,2400,1900,1900,3600,2400,2400
must visit spain cities,Country PLP,Spain,Urban destinations,2900,-33%,-33%,Medium,3600,3600,2900,2900,2400,2400,2400,1900,1900,3600,2400,2400
must visit towns in spain,Country PLP,Spain,Urban destinations,20,-50%,-50%,Low,10,30,20,30,10,20,10,10,10,20,20,10
natural attractions in spain,Country PLP,Spain,Sightseeing & landmarks,260,0%,24%,Low,260,320,260,90,210,260,320,170,210,210,320,210
natural tourist attractions in spain,Country PLP,Spain,Sightseeing & landmarks,260,0%,24%,Low,260,320,260,90,210,260,320,170,210,210,320,210
nice cities in spain,Country PLP,Spain,Urban destinations,1600,0%,-16%,Low,1900,1900,1600,1600,1300,1300,1300,1000,1000,1600,1300,1600
nice cities in spain to visit,Country PLP,Spain,Urban destinations,20,0%,0%,Medium,20,20,20,20,20,20,10,10,10,20,20,20
nice cities to visit in spain,Country PLP,Spain,Urban destinations,20,0%,0%,Low,30,30,30,20,20,20,20,10,10,30,20,30
nice holiday destinations spain,Country PLP,Spain,Trip types & holidays,10,0%,-50%,Medium,20,10,10,10,10,10,10,10,10,10,10,10
nice parts of spain,Country PLP,Spain,Places & destinations,260,-19%,-33%,Low,320,390,390,320,260,210,170,170,140,320,260,260
nice places in spain to visit,Country PLP,Spain,Places & destinations,50,-29%,0%,Medium,70,90,50,70,70,50,40,40,40,70,40,50
nice places to go on holiday in spain,Country PLP,Spain,Trip types & holidays,20,0%,0%,Medium,20,20,30,20,10,10,10,10,10,20,20,20
nice places to visit spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
nicest cities in spain,Country PLP,Spain,Urban destinations,1600,0%,-16%,Low,1900,1900,1600,1600,1300,1300,1300,1000,1000,1600,1300,1600
non tourist places in spain,Country PLP,Spain,Hidden gems & alternatives,20,100%,100%,Low,20,20,40,40,10,10,10,10,10,10,20,20
non tourist spain,Country PLP,Spain,Hidden gems & alternatives,20,-33%,0%,Low,30,30,20,10,20,20,10,20,10,30,10,20
north coast spain road trip,Country PLP,Spain,Itineraries & road trips,10,0%,0%,Low,20,20,10,20,20,10,10,10,10,10,10,10
north east spain places to visit,Country PLP,Spain,Regional exploration,30,-50%,-33%,Low,30,40,40,30,30,20,10,20,30,40,30,20
north of spain holiday destinations,Country PLP,Spain,Regional exploration,10,0%,-50%,Medium,10,10,10,20,10,10,10,10,10,10,10,10
north of spain places to visit,Country PLP,Spain,Regional exploration,70,0%,0%,Low,70,70,70,70,70,70,70,30,40,70,50,70
north of spain road trip,Country PLP,Spain,Itineraries & road trips,50,-20%,-20%,Low,70,70,70,70,50,50,20,20,30,50,30,40
north of spain trip,Country PLP,Spain,Regional exploration,10,100%,-33%,Low,20,20,20,20,10,10,10,10,10,10,10,20
north spain best places to visit,Country PLP,Spain,Regional exploration,20,-67%,-67%,Low,40,30,40,40,20,10,20,10,10,30,20,10
north spain destinations,Country PLP,Spain,Regional exploration,10,0%,-50%,Medium,20,30,20,30,10,10,10,10,10,10,10,10
north spain must see,Country PLP,Spain,Regional exploration,10,0%,0%,Medium,20,20,20,20,10,10,10,10,10,10,10,10
north spain places to visit,Country PLP,Spain,Regional exploration,40,-25%,-40%,Low,50,40,50,50,40,10,20,20,30,40,30,30
north spain tourism,Country PLP,Spain,Regional exploration,70,-29%,-44%,Low,70,90,90,70,70,40,50,50,40,70,40,50
north spain tourist attractions,Country PLP,Spain,Regional exploration,10,0%,-100%,Unknown,10,10,10,10,10,0,10,10,10,0,10,0
north spain trip,Country PLP,Spain,Regional exploration,390,-19%,0%,Low,390,480,480,390,320,480,260,260,320,590,480,480
north west spain road trip,Country PLP,Spain,Itineraries & road trips,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
northern spain attractions,Country PLP,Spain,Regional exploration,260,-19%,-19%,Low,320,390,320,320,260,210,210,210,170,320,260,260
northern spain best places to visit,Country PLP,Spain,Regional exploration,90,22%,57%,Low,70,110,90,140,70,50,50,50,50,90,70,110
northern spain cities to visit,Country PLP,Spain,Regional exploration,30,0%,-40%,Low,40,50,50,40,30,30,20,10,20,30,10,30
northern spain destinations,Country PLP,Spain,Regional exploration,40,-25%,-40%,Low,40,50,40,50,40,10,20,10,20,40,50,30
northern spain must see,Country PLP,Spain,Regional exploration,50,-29%,-29%,Low,70,90,70,70,70,50,30,20,30,70,70,50
northern spain top places to visit,Country PLP,Spain,Regional exploration,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
northern spain tourism,Country PLP,Spain,Regional exploration,70,-29%,-44%,Low,70,90,90,70,70,40,50,50,40,70,40,50
northern spain where to go,Country PLP,Spain,Regional exploration,10,-50%,0%,Low,10,10,20,10,10,10,10,10,10,20,10,10
off the beaten track spain,Country PLP,Spain,Hidden gems & alternatives,40,-20%,-43%,Medium,50,50,70,50,30,40,30,20,40,50,50,40
one week in spain where to go,Country PLP,Spain,Itineraries & road trips,20,100%,-50%,Low,10,30,10,20,10,20,10,10,20,10,20,20
parts of spain to visit,Country PLP,Spain,Places & destinations,70,-18%,0%,Low,70,90,50,50,70,90,70,70,70,110,110,90
party destinations spain,Country PLP,Spain,Nightlife & parties,880,-12%,-32%,Low,1000,1300,1300,1000,880,720,590,590,720,1000,880,880
picturesque places in spain,Country PLP,Spain,Places & destinations,20,0%,0%,Low,20,30,20,20,20,20,20,10,10,20,10,20
places around spain,Country PLP,Spain,Places & destinations,20,0%,-33%,Low,40,30,30,20,20,30,10,20,30,20,30,20
places in mainland spain,Country PLP,Spain,Regional exploration,30,0%,0%,Medium,20,40,30,30,20,30,20,20,20,30,20,30
places in spain holiday,Country PLP,Spain,Trip types & holidays,30,33%,33%,Medium,30,40,30,20,20,20,10,10,10,30,40,40
places in spain to holiday,Country PLP,Spain,Trip types & holidays,10,-50%,-50%,Medium,20,30,30,10,10,20,10,10,10,20,10,10
places in spain to travel,Country PLP,Spain,Places & destinations,20,0%,-33%,Low,20,20,20,20,20,30,30,10,40,20,30,20
places in spain to visit in december,Country PLP,Spain,Seasonality & weather,40,-67%,-50%,Medium,10,10,30,30,50,50,70,90,70,30,20,10
places in spain you must visit,Country PLP,Spain,Sightseeing & landmarks,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
places near spain to visit,Country PLP,Spain,Places & destinations,30,-33%,0%,Low,30,20,20,20,30,40,30,20,20,30,40,20
places not to miss in spain,Country PLP,Spain,Places & destinations,10,0%,-50%,Medium,20,10,10,10,10,20,10,10,10,10,10,10
places of tourist interest in spain,Country PLP,Spain,Places & destinations,10,0%,-50%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
places spain,Country PLP,Spain,Places & destinations,18100,0%,0%,Low,18100,33100,18100,18100,18100,18100,14800,14800,12100,18100,14800,18100
places to do in spain,Country PLP,Spain,Places & destinations,20,0%,100%,Low,40,30,10,10,10,10,20,10,20,20,20,20
places to explore in spain,Country PLP,Spain,Places & destinations,50,-20%,-43%,Medium,70,70,70,40,50,50,50,30,50,50,50,40
places to go in northern spain,Country PLP,Spain,Regional exploration,390,-19%,-19%,Low,480,590,480,590,390,320,390,210,210,480,320,390
places to go in south spain,Country PLP,Spain,Regional exploration,390,-19%,-19%,Low,480,480,480,480,390,390,390,320,320,590,390,480
places to go in spain in december,Country PLP,Spain,Seasonality & weather,140,-40%,-40%,Low,70,50,70,90,140,210,320,390,210,50,30,30
places to go in spain in november,Country PLP,Spain,Seasonality & weather,70,0%,100%,Medium,30,20,40,70,90,140,210,110,10,20,10,20
places to go in spain in october,Country PLP,Spain,Seasonality & weather,70,0%,-25%,Low,30,70,50,90,170,170,110,20,10,30,20,30
places to go south spain,Country PLP,Spain,Regional exploration,10,100%,0%,Low,10,10,10,10,10,20,10,10,10,10,20,20
places to roam in spain,Country PLP,Spain,Places & destinations,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
places to see in northern spain,Country PLP,Spain,Regional exploration,390,-19%,-19%,Low,480,590,480,590,390,320,390,210,210,480,320,390
places to see in southern spain,Country PLP,Spain,Regional exploration,390,-19%,-19%,Low,480,480,480,480,390,390,390,320,320,590,390,480
places to visit around spain,Country PLP,Spain,Places & destinations,10,-50%,-50%,Medium,10,10,10,10,10,20,10,10,20,20,20,10
places to visit in spain and why,Country PLP,Spain,Places & destinations,10,-50%,0%,Low,10,10,10,0,10,10,10,20,10,20,10,10
places to visit in spain beach,Country PLP,Spain,Beaches & coast,10,0%,-50%,Low,10,20,20,20,20,10,10,10,10,10,10,10
places to visit in spain during winter,Country PLP,Spain,Seasonality & weather,10,-50%,0%,Low,10,10,10,10,10,10,30,20,20,20,10,10
places to visit in spain in january,Country PLP,Spain,Seasonality & weather,40,-86%,0%,Medium,10,10,10,10,30,40,50,70,110,70,10,10
places to visit in spain in november,Country PLP,Spain,Seasonality & weather,70,0%,100%,Medium,30,20,40,70,90,140,210,110,10,20,10,20
places to visit in spain in summer,Country PLP,Spain,Seasonality & weather,10,0%,100%,Medium,20,20,10,10,10,10,10,10,10,20,10,20
places to visit in spain in winter,Country PLP,Spain,Seasonality & weather,10,0%,0%,Medium,10,10,10,10,20,20,20,20,10,10,10,10
places to visit in the north of spain,Country PLP,Spain,Regional exploration,10,0%,-50%,Low,20,10,20,10,10,10,10,10,10,10,10,10
places to visit near spain,Country PLP,Spain,Places & destinations,50,-43%,-20%,Low,70,50,50,50,50,30,50,30,50,70,40,40
places to visit spain in october,Country PLP,Spain,Seasonality & weather,10,0%,-100%,Unknown,10,10,10,10,10,20,10,10,10,0,10,0
places to visit while in spain,Country PLP,Spain,Places & destinations,10,-50%,-50%,Medium,10,10,10,10,10,10,10,10,10,20,10,10
places worth visiting in spain,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,14800,12100,14800,12100,12100,12100,14800,14800,14800
places you have to visit in spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
places you must see in spain,Country PLP,Spain,Sightseeing & landmarks,30,0%,0%,Medium,30,30,30,30,30,20,40,10,20,30,20,30
places you must visit in spain,Country PLP,Spain,Sightseeing & landmarks,30,0%,0%,Medium,30,30,30,30,30,20,40,10,20,30,20,30
point of interest in spain,Country PLP,Spain,Places & destinations,14800,0%,-18%,Low,18100,22200,14800,12100,14800,18100,18100,12100,12100,14800,12100,14800
popular attractions in spain,Country PLP,Spain,Sightseeing & landmarks,1000,-23%,-23%,Low,1300,1900,1300,880,1000,1300,1300,880,1000,1300,880,1000
popular cities in spain,Country PLP,Spain,Urban destinations,3600,24%,24%,Low,3600,6600,2900,2900,2900,3600,2900,2900,2900,2900,2900,3600
popular cities in spain to visit,Country PLP,Spain,Urban destinations,30,0%,100%,Low,20,30,20,20,30,40,40,40,40,40,50,40
popular cities to visit in spain,Country PLP,Spain,Urban destinations,40,-20%,33%,Low,50,30,50,40,30,40,20,30,20,50,40,40
popular holiday places in spain,Country PLP,Spain,Trip types & holidays,390,0%,0%,Medium,480,480,480,480,390,320,260,320,210,390,320,390
popular places in spain to visit,Country PLP,Spain,Places & destinations,210,0%,24%,Low,260,260,170,140,210,260,260,210,210,260,210,260
popular places to go in spain,Country PLP,Spain,Places & destinations,170,24%,86%,Low,170,210,110,140,140,260,260,210,170,210,170,260
popular spots in spain,Country PLP,Spain,Places & destinations,6600,0%,0%,Low,8100,9900,6600,5400,5400,9900,8100,6600,5400,6600,5400,6600
popular things to do in spain,Country PLP,Spain,Activities & experiences,880,-28%,-45%,Medium,1000,1300,880,880,720,880,720,590,720,1000,720,720
popular tourist cities in spain,Country PLP,Spain,Urban destinations,70,-29%,-44%,Low,90,90,90,90,50,70,40,40,40,70,50,50
popular tourist places in spain,Country PLP,Spain,Places & destinations,1000,-23%,-23%,Low,1300,1900,1300,880,1000,1300,1300,880,1000,1300,880,1000
popular tourist spots in spain,Country PLP,Spain,Places & destinations,1000,-23%,-23%,Low,1300,1900,1300,880,1000,1300,1300,880,1000,1300,880,1000
popular towns in spain,Country PLP,Spain,Urban destinations,40,-20%,33%,Low,50,90,40,30,40,30,50,10,30,50,30,40
popular travel destinations in spain,Country PLP,Spain,Places & destinations,10,-50%,-50%,Low,20,10,30,10,10,10,10,10,10,20,10,10
popular vacation spots in spain,Country PLP,Spain,Trip types & holidays,720,-18%,-18%,Medium,880,880,880,880,590,590,480,480,480,880,720,720
portugal southern spain itinerary,Country PLP,Spain,Itineraries & road trips,10,0%,0%,Medium,10,10,10,10,0,10,10,10,10,10,10,10
posh spain destinations,Country PLP,Spain,Places & destinations,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
prettiest cities in spain,Country PLP,Spain,Urban destinations,6600,0%,-19%,Low,8100,8100,6600,6600,6600,5400,5400,5400,4400,6600,5400,6600
prettiest part of spain,Country PLP,Spain,Places & destinations,90,22%,-21%,Low,110,110,90,110,90,70,70,70,90,90,90,110
prettiest places in spain to visit,Country PLP,Spain,Places & destinations,10,50%,200%,Low,10,10,10,10,10,10,20,10,10,20,20,30
prettiest places to visit in spain,Country PLP,Spain,Places & destinations,20,0%,50%,Low,20,20,30,30,10,20,20,20,10,30,40,30
prettiest town in spain,Country PLP,Spain,Urban destinations,590,-18%,-33%,Low,720,720,590,720,720,590,590,480,480,720,590,590
prettiest villages in spain,Country PLP,Spain,Places & destinations,70,0%,-36%,Low,70,90,90,90,90,90,90,50,40,70,90,70
pretty cities in spain,Country PLP,Spain,Urban destinations,50,0%,-29%,Low,50,110,40,40,40,50,50,30,40,50,50,50
pretty places in spain,Country PLP,Spain,Places & destinations,1600,-16%,-33%,Low,1900,2400,1900,1600,1600,1900,1600,1300,1300,1900,1600,1600
quaint spanish coastal towns,Country PLP,Spain,Beaches & coast,20,0%,-50%,Low,10,20,20,10,10,20,10,10,10,20,20,20
quiet places to visit in spain,Country PLP,Spain,Places & destinations,20,-33%,-33%,Medium,30,30,40,30,30,20,10,10,10,30,20,20
rick steves northern spain itinerary,Country PLP,Spain,Itineraries & road trips,30,0%,-50%,Low,30,40,40,40,50,30,20,10,10,20,20,20
rick steves southern spain itinerary,Country PLP,Spain,Itineraries & road trips,590,-33%,-33%,Low,720,720,720,590,590,590,480,480,480,720,480,480
road trip in northern spain,Country PLP,Spain,Itineraries & road trips,720,0%,-12%,Low,880,1000,1000,1300,880,590,480,390,390,880,720,880
road trip spain coast,Country PLP,Spain,Itineraries & road trips,50,0%,-29%,Low,90,90,50,50,30,40,30,30,30,50,70,50
romantic destinations in spain,Country PLP,Spain,Places & destinations,260,0%,-19%,Low,320,390,320,320,320,210,320,170,170,260,210,260
romantic places to visit in spain,Country PLP,Spain,Places & destinations,10,0%,0%,Medium,20,10,20,10,10,20,10,10,10,10,10,10
rota spain tourist attractions,Country PLP,Spain,Sightseeing & landmarks,590,-34%,-46%,Medium,590,590,590,720,720,590,590,480,480,590,390,390
safest cities in spain for tourists,Country PLP,Spain,Urban destinations,30,50%,-25%,Low,40,50,50,30,20,30,20,30,20,20,30,30
safest place in spain to visit,Country PLP,Spain,Places & destinations,10,0%,-50%,Low,20,20,20,10,10,20,10,10,10,10,10,10
safest places in spain,Country PLP,Spain,Places & destinations,210,-19%,-35%,Low,210,260,260,210,260,170,170,110,140,210,170,170
safest places to visit in spain,Country PLP,Spain,Places & destinations,20,0%,0%,Low,20,30,20,20,20,20,20,10,10,30,20,30
samantha brown spain,Country PLP,Spain,Places & destinations,10,-33%,-33%,Low,20,10,10,20,10,10,10,10,10,30,10,20
scenery in spain,Country PLP,Spain,Nature & outdoors,590,-18%,0%,Low,590,880,590,480,480,590,720,590,480,720,590,590
scenic places in spain,Country PLP,Spain,Nature & outdoors,70,29%,29%,Low,90,90,90,70,70,70,70,50,50,70,70,90
secret places to visit in spain,Country PLP,Spain,Places & destinations,10,0%,-67%,Low,10,20,10,10,10,10,10,10,10,10,10,10
see in spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,20,20,10,10,10,20,20,20,10,10,10
see morocco see spain,Country PLP,Spain,Places & destinations,40,-60%,100%,Low,20,10,30,50,30,30,50,90,50,50,20,20
sight seeing spain,Country PLP,Spain,Places & destinations,10,0%,-50%,Low,20,20,10,20,10,10,10,10,10,10,10,10
sightseeing places in spain,Country PLP,Spain,Sightseeing & landmarks,14800,0%,-18%,Low,18100,22200,14800,12100,14800,18100,18100,12100,12100,14800,12100,14800
small towns in spain to visit,Country PLP,Spain,Urban destinations,40,-29%,25%,Medium,20,40,30,40,20,30,40,30,40,70,50,50
